placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Age_Person_BlackOrAfricanAmericanAlone,Value:Median_Age_Person_BlackOrAfricanAmericanAlone,Source:Median_Age_Person_BlackOrAfricanAmericanAlone,Date:Count_Person_WithDisability_BlackOrAfricanAmericanAlone,Value:Count_Person_WithDisability_BlackOrAfricanAmericanAlone,Source:Count_Person_WithDisability_BlackOrAfricanAmericanAlone,Date:Count_Person_BlackOrAfricanAmericanAlone,Value:Count_Person_BlackOrAfricanAmericanAlone,Source:Count_Person_BlackOrAfricanAmericanAlone
geoId/0600135,Acalanes Ridge,2023,1025,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600156,Acampo,2023,278,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600212,Acton,2023,7721,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,52.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,30,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600296,Adelanto,2023,38187,https://www2.census.gov/programs-surveys/popest/tables,2023,33.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,964,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,6223,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600310,Adin,2023,91,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600394,Agoura Hills,2023,19474,https://www2.census.gov/programs-surveys/popest/tables,2023,55.2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,7,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,151,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600450,Agua Dulce,2023,2768,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600464,Aguanga,2023,756,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,49.5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600478,Ahwahnee,2023,1532,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,42,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,53,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600535,Airport,2023,1258,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2018,40.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600562,Alameda,2023,75353,https://www2.census.gov/programs-surveys/popest/tables,2023,38,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,562,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,4659,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600618,Alamo,2023,14441,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,27.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,94,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600674,Albany,2023,19097,https://www2.census.gov/programs-surveys/popest/tables,2023,36,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,98,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600716,Albion,2023,214,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600786,Alderpoint,2023,62,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600884,Alhambra,2023,79776,https://www2.census.gov/programs-surveys/popest/tables,2023,36.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,380,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,2056,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600898,Alhambra Valley,2023,937,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,44,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,115,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600947,Aliso Viejo,2023,50263,https://www2.census.gov/programs-surveys/popest/tables,2023,37.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,159,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,1105,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600982,Alleghany,2023,35,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0600996,Allendale,2023,1915,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,37.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,108,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601010,Allensworth,2023,443,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,23.1,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,21,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601094,Almanor,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601150,Alondra Park,2023,8262,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,35.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,119,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601164,Alpaugh,2023,853,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2013,2.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601192,Alpine,2023,15470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2023,32.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,310,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601228,Alpine Village,2023,195,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,0,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/0601276,Alta,2023,740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,3,https://data.census.gov/table/ACSST5Y2022.S1810?q=S1810,2023,2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
